#=====================================================
#
# 起伏地面の情報[Elevation.txt]
# Author：小原立暉
#
#=====================================================
#=====================================================
# 起伏地面の設定
#=====================================================
SET_ELEVATION
	POS = 0.00 0.00 0.00
	ROT = 0.00 0.00 0.00
	SIZE = 10000.00 10000.00
	WIDTH = 50
	DEPTH = 50
	TEXTURE = data\TEXTURE\GrassLand.png
	ELEV = 
		-5000.00 0.00 5000.00  -4800.00 0.00 5000.00  -4600.00 0.00 5000.00  -4400.00 0.00 5000.00  -4200.00 0.00 5000.00  -4000.00 0.00 5000.00  -3800.00 0.00 5000.00  -3600.00 0.00 5000.00  -3400.00 0.00 5000.00  -3200.00 0.00 5000.00  -3000.00 0.00 5000.00  -2800.00 0.00 5000.00  -2600.00 0.00 5000.00  -2400.00 0.00 5000.00  -2200.00 0.00 5000.00  -2000.00 0.00 5000.00  -1800.00 0.00 5000.00  -1600.00 0.00 5000.00  -1400.00 0.00 5000.00  -1200.00 0.00 5000.00  -1000.00 0.00 5000.00  -800.00 0.00 5000.00  -600.00 0.00 5000.00  -400.00 0.00 5000.00  -200.00 0.00 5000.00  0.00 0.00 5000.00  200.00 0.00 5000.00  400.00 0.00 5000.00  600.00 0.00 5000.00  800.00 0.00 5000.00  1000.00 0.00 5000.00  1200.00 0.00 5000.00  1400.00 0.00 5000.00  1600.00 0.00 5000.00  1800.00 0.00 5000.00  2000.00 0.00 5000.00  2200.00 0.00 5000.00  2400.00 0.00 5000.00  2600.00 0.00 5000.00  2800.00 0.00 5000.00  3000.00 0.00 5000.00  3200.00 0.00 5000.00  3400.00 0.00 5000.00  3600.00 0.00 5000.00  3800.00 0.00 5000.00  4000.00 0.00 5000.00  4200.00 0.00 5000.00  4400.00 0.00 5000.00  4600.00 0.00 5000.00  4800.00 0.00 5000.00  5000.00 0.00 5000.00  
		-5000.00 0.00 4800.00  -4800.00 0.00 4800.00  -4600.00 0.00 4800.00  -4400.00 0.00 4800.00  -4200.00 0.00 4800.00  -4000.00 0.00 4800.00  -3800.00 0.00 4800.00  -3600.00 0.00 4800.00  -3400.00 0.00 4800.00  -3200.00 0.00 4800.00  -3000.00 0.00 4800.00  -2800.00 0.00 4800.00  -2600.00 0.00 4800.00  -2400.00 0.00 4800.00  -2200.00 0.00 4800.00  -2000.00 0.00 4800.00  -1800.00 0.00 4800.00  -1600.00 0.00 4800.00  -1400.00 0.00 4800.00  -1200.00 0.00 4800.00  -1000.00 0.00 4800.00  -800.00 0.00 4800.00  -600.00 0.00 4800.00  -400.00 0.00 4800.00  -200.00 0.00 4800.00  0.00 0.00 4800.00  200.00 0.00 4800.00  400.00 0.00 4800.00  600.00 0.00 4800.00  800.00 0.00 4800.00  1000.00 0.00 4800.00  1200.00 0.00 4800.00  1400.00 0.00 4800.00  1600.00 0.00 4800.00  1800.00 0.00 4800.00  2000.00 0.00 4800.00  2200.00 0.00 4800.00  2400.00 0.00 4800.00  2600.00 0.00 4800.00  2800.00 0.00 4800.00  3000.00 0.00 4800.00  3200.00 0.00 4800.00  3400.00 0.00 4800.00  3600.00 0.00 4800.00  3800.00 0.00 4800.00  4000.00 0.00 4800.00  4200.00 0.00 4800.00  4400.00 0.00 4800.00  4600.00 0.00 4800.00  4800.00 0.00 4800.00  5000.00 0.00 4800.00  
		-5000.00 0.00 4600.00  -4800.00 0.00 4600.00  -4600.00 0.00 4600.00  -4400.00 0.00 4600.00  -4200.00 0.00 4600.00  -4000.00 0.00 4600.00  -3800.00 0.00 4600.00  -3600.00 0.00 4600.00  -3400.00 0.00 4600.00  -3200.00 0.00 4600.00  -3000.00 0.00 4600.00  -2800.00 0.00 4600.00  -2600.00 0.00 4600.00  -2400.00 0.00 4600.00  -2200.00 0.00 4600.00  -2000.00 0.00 4600.00  -1800.00 0.00 4600.00  -1600.00 0.00 4600.00  -1400.00 0.00 4600.00  -1200.00 0.00 4600.00  -1000.00 0.00 4600.00  -800.00 0.00 4600.00  -600.00 0.00 4600.00  -400.00 0.00 4600.00  -200.00 0.00 4600.00  0.00 0.00 4600.00  200.00 0.00 4600.00  400.00 0.00 4600.00  600.00 0.00 4600.00  800.00 0.00 4600.00  1000.00 0.00 4600.00  1200.00 0.00 4600.00  1400.00 0.00 4600.00  1600.00 0.00 4600.00  1800.00 0.00 4600.00  2000.00 0.00 4600.00  2200.00 0.00 4600.00  2400.00 0.00 4600.00  2600.00 0.00 4600.00  2800.00 0.00 4600.00  3000.00 0.00 4600.00  3200.00 0.00 4600.00  3400.00 0.00 4600.00  3600.00 0.00 4600.00  3800.00 0.00 4600.00  4000.00 0.00 4600.00  4200.00 0.00 4600.00  4400.00 0.00 4600.00  4600.00 0.00 4600.00  4800.00 0.00 4600.00  5000.00 0.00 4600.00  
		-5000.00 0.00 4400.00  -4800.00 0.00 4400.00  -4600.00 0.00 4400.00  -4400.00 0.00 4400.00  -4200.00 0.00 4400.00  -4000.00 0.00 4400.00  -3800.00 0.00 4400.00  -3600.00 0.00 4400.00  -3400.00 0.00 4400.00  -3200.00 0.00 4400.00  -3000.00 0.00 4400.00  -2800.00 0.00 4400.00  -2600.00 0.00 4400.00  -2400.00 0.00 4400.00  -2200.00 0.00 4400.00  -2000.00 0.00 4400.00  -1800.00 0.00 4400.00  -1600.00 0.00 4400.00  -1400.00 0.00 4400.00  -1200.00 0.00 4400.00  -1000.00 0.00 4400.00  -800.00 0.00 4400.00  -600.00 0.00 4400.00  -400.00 0.00 4400.00  -200.00 0.00 4400.00  0.00 0.00 4400.00  200.00 0.00 4400.00  400.00 0.00 4400.00  600.00 0.00 4400.00  800.00 0.00 4400.00  1000.00 0.00 4400.00  1200.00 0.00 4400.00  1400.00 0.00 4400.00  1600.00 0.00 4400.00  1800.00 0.00 4400.00  2000.00 0.00 4400.00  2200.00 0.00 4400.00  2400.00 0.00 4400.00  2600.00 0.00 4400.00  2800.00 0.00 4400.00  3000.00 0.00 4400.00  3200.00 0.00 4400.00  3400.00 0.00 4400.00  3600.00 0.00 4400.00  3800.00 0.00 4400.00  4000.00 0.00 4400.00  4200.00 0.00 4400.00  4400.00 0.00 4400.00  4600.00 0.00 4400.00  4800.00 0.00 4400.00  5000.00 0.00 4400.00  
		-5000.00 0.00 4200.00  -4800.00 0.00 4200.00  -4600.00 0.00 4200.00  -4400.00 0.00 4200.00  -4200.00 0.00 4200.00  -4000.00 0.00 4200.00  -3800.00 0.00 4200.00  -3600.00 0.00 4200.00  -3400.00 0.00 4200.00  -3200.00 0.00 4200.00  -3000.00 0.00 4200.00  -2800.00 0.00 4200.00  -2600.00 0.00 4200.00  -2400.00 0.00 4200.00  -2200.00 0.00 4200.00  -2000.00 0.00 4200.00  -1800.00 0.00 4200.00  -1600.00 0.00 4200.00  -1400.00 0.00 4200.00  -1200.00 0.00 4200.00  -1000.00 0.00 4200.00  -800.00 0.00 4200.00  -600.00 0.00 4200.00  -400.00 0.00 4200.00  -200.00 0.00 4200.00  0.00 0.00 4200.00  200.00 0.00 4200.00  400.00 0.00 4200.00  600.00 0.00 4200.00  800.00 0.00 4200.00  1000.00 0.00 4200.00  1200.00 0.00 4200.00  1400.00 0.00 4200.00  1600.00 0.00 4200.00  1800.00 0.00 4200.00  2000.00 0.00 4200.00  2200.00 0.00 4200.00  2400.00 0.00 4200.00  2600.00 0.00 4200.00  2800.00 0.00 4200.00  3000.00 0.00 4200.00  3200.00 0.00 4200.00  3400.00 0.00 4200.00  3600.00 0.00 4200.00  3800.00 0.00 4200.00  4000.00 0.00 4200.00  4200.00 0.00 4200.00  4400.00 0.00 4200.00  4600.00 0.00 4200.00  4800.00 0.00 4200.00  5000.00 0.00 4200.00  
		-5000.00 0.00 4000.00  -4800.00 0.00 4000.00  -4600.00 0.00 4000.00  -4400.00 0.00 4000.00  -4200.00 0.00 4000.00  -4000.00 0.00 4000.00  -3800.00 0.00 4000.00  -3600.00 0.00 4000.00  -3400.00 0.00 4000.00  -3200.00 0.00 4000.00  -3000.00 0.00 4000.00  -2800.00 0.00 4000.00  -2600.00 0.00 4000.00  -2400.00 0.00 4000.00  -2200.00 0.00 4000.00  -2000.00 0.00 4000.00  -1800.00 0.00 4000.00  -1600.00 0.00 4000.00  -1400.00 0.00 4000.00  -1200.00 0.00 4000.00  -1000.00 0.00 4000.00  -800.00 0.00 4000.00  -600.00 0.00 4000.00  -400.00 0.00 4000.00  -200.00 0.00 4000.00  0.00 0.00 4000.00  200.00 0.00 4000.00  400.00 0.00 4000.00  600.00 0.00 4000.00  800.00 0.00 4000.00  1000.00 0.00 4000.00  1200.00 0.00 4000.00  1400.00 0.00 4000.00  1600.00 0.00 4000.00  1800.00 0.00 4000.00  2000.00 0.00 4000.00  2200.00 0.00 4000.00  2400.00 0.00 4000.00  2600.00 0.00 4000.00  2800.00 0.00 4000.00  3000.00 0.00 4000.00  3200.00 0.00 4000.00  3400.00 0.00 4000.00  3600.00 0.00 4000.00  3800.00 0.00 4000.00  4000.00 0.00 4000.00  4200.00 0.00 4000.00  4400.00 0.00 4000.00  4600.00 0.00 4000.00  4800.00 0.00 4000.00  5000.00 0.00 4000.00  
		-5000.00 0.00 3800.00  -4800.00 0.00 3800.00  -4600.00 0.00 3800.00  -4400.00 0.00 3800.00  -4200.00 0.00 3800.00  -4000.00 0.00 3800.00  -3800.00 0.00 3800.00  -3600.00 0.00 3800.00  -3400.00 0.00 3800.00  -3200.00 0.00 3800.00  -3000.00 0.00 3800.00  -2800.00 0.00 3800.00  -2600.00 0.00 3800.00  -2400.00 0.00 3800.00  -2200.00 0.00 3800.00  -2000.00 0.00 3800.00  -1800.00 0.00 3800.00  -1600.00 0.00 3800.00  -1400.00 0.00 3800.00  -1200.00 0.00 3800.00  -1000.00 0.00 3800.00  -800.00 0.00 3800.00  -600.00 0.00 3800.00  -400.00 0.00 3800.00  -200.00 0.00 3800.00  0.00 0.00 3800.00  200.00 0.00 3800.00  400.00 0.00 3800.00  600.00 0.00 3800.00  800.00 0.00 3800.00  1000.00 0.00 3800.00  1200.00 0.00 3800.00  1400.00 0.00 3800.00  1600.00 0.00 3800.00  1800.00 0.00 3800.00  2000.00 0.00 3800.00  2200.00 0.00 3800.00  2400.00 0.00 3800.00  2600.00 0.00 3800.00  2800.00 0.00 3800.00  3000.00 0.00 3800.00  3200.00 0.00 3800.00  3400.00 0.00 3800.00  3600.00 0.00 3800.00  3800.00 0.00 3800.00  4000.00 0.00 3800.00  4200.00 0.00 3800.00  4400.00 0.00 3800.00  4600.00 0.00 3800.00  4800.00 0.00 3800.00  5000.00 0.00 3800.00  
		-5000.00 0.00 3600.00  -4800.00 0.00 3600.00  -4600.00 0.00 3600.00  -4400.00 0.00 3600.00  -4200.00 0.00 3600.00  -4000.00 0.00 3600.00  -3800.00 0.00 3600.00  -3600.00 0.00 3600.00  -3400.00 0.00 3600.00  -3200.00 0.00 3600.00  -3000.00 0.00 3600.00  -2800.00 0.00 3600.00  -2600.00 0.00 3600.00  -2400.00 0.00 3600.00  -2200.00 0.00 3600.00  -2000.00 0.00 3600.00  -1800.00 0.00 3600.00  -1600.00 0.00 3600.00  -1400.00 0.00 3600.00  -1200.00 0.00 3600.00  -1000.00 0.00 3600.00  -800.00 0.00 3600.00  -600.00 0.00 3600.00  -400.00 0.00 3600.00  -200.00 0.00 3600.00  0.00 0.00 3600.00  200.00 0.00 3600.00  400.00 0.00 3600.00  600.00 0.00 3600.00  800.00 0.00 3600.00  1000.00 0.00 3600.00  1200.00 0.00 3600.00  1400.00 0.00 3600.00  1600.00 0.00 3600.00  1800.00 0.00 3600.00  2000.00 0.00 3600.00  2200.00 0.00 3600.00  2400.00 0.00 3600.00  2600.00 0.00 3600.00  2800.00 0.00 3600.00  3000.00 0.00 3600.00  3200.00 0.00 3600.00  3400.00 0.00 3600.00  3600.00 0.00 3600.00  3800.00 0.00 3600.00  4000.00 0.00 3600.00  4200.00 0.00 3600.00  4400.00 0.00 3600.00  4600.00 0.00 3600.00  4800.00 0.00 3600.00  5000.00 0.00 3600.00  
		-5000.00 0.00 3400.00  -4800.00 0.00 3400.00  -4600.00 0.00 3400.00  -4400.00 0.00 3400.00  -4200.00 0.00 3400.00  -4000.00 0.00 3400.00  -3800.00 0.00 3400.00  -3600.00 0.00 3400.00  -3400.00 0.00 3400.00  -3200.00 0.00 3400.00  -3000.00 0.00 3400.00  -2800.00 12.00 3400.00  -2600.00 24.00 3400.00  -2400.00 33.00 3400.00  -2200.00 42.00 3400.00  -2000.00 42.00 3400.00  -1800.00 18.00 3400.00  -1600.00 18.00 3400.00  -1400.00 15.00 3400.00  -1200.00 6.00 3400.00  -1000.00 24.00 3400.00  -800.00 24.00 3400.00  -600.00 33.00 3400.00  -400.00 33.00 3400.00  -200.00 39.00 3400.00  0.00 27.00 3400.00  200.00 39.00 3400.00  400.00 24.00 3400.00  600.00 12.00 3400.00  800.00 21.00 3400.00  1000.00 12.00 3400.00  1200.00 33.00 3400.00  1400.00 45.00 3400.00  1600.00 51.00 3400.00  1800.00 48.00 3400.00  2000.00 33.00 3400.00  2200.00 12.00 3400.00  2400.00 0.00 3400.00  2600.00 0.00 3400.00  2800.00 0.00 3400.00  3000.00 0.00 3400.00  3200.00 0.00 3400.00  3400.00 0.00 3400.00  3600.00 0.00 3400.00  3800.00 0.00 3400.00  4000.00 0.00 3400.00  4200.00 0.00 3400.00  4400.00 0.00 3400.00  4600.00 0.00 3400.00  4800.00 0.00 3400.00  5000.00 0.00 3400.00  
		-5000.00 0.00 3200.00  -4800.00 0.00 3200.00  -4600.00 0.00 3200.00  -4400.00 0.00 3200.00  -4200.00 0.00 3200.00  -4000.00 0.00 3200.00  -3800.00 0.00 3200.00  -3600.00 0.00 3200.00  -3400.00 0.00 3200.00  -3200.00 0.00 3200.00  -3000.00 0.00 3200.00  -2800.00 12.00 3200.00  -2600.00 24.00 3200.00  -2400.00 33.00 3200.00  -2200.00 42.00 3200.00  -2000.00 42.00 3200.00  -1800.00 18.00 3200.00  -1600.00 18.00 3200.00  -1400.00 15.00 3200.00  -1200.00 6.00 3200.00  -1000.00 24.00 3200.00  -800.00 24.00 3200.00  -600.00 33.00 3200.00  -400.00 33.00 3200.00  -200.00 39.00 3200.00  0.00 27.00 3200.00  200.00 39.00 3200.00  400.00 24.00 3200.00  600.00 12.00 3200.00  800.00 21.00 3200.00  1000.00 12.00 3200.00  1200.00 33.00 3200.00  1400.00 45.00 3200.00  1600.00 63.00 3200.00  1800.00 90.00 3200.00  2000.00 84.00 3200.00  2200.00 75.00 3200.00  2400.00 72.00 3200.00  2600.00 60.00 3200.00  2800.00 33.00 3200.00  3000.00 33.00 3200.00  3200.00 21.00 3200.00  3400.00 0.00 3200.00  3600.00 0.00 3200.00  3800.00 0.00 3200.00  4000.00 0.00 3200.00  4200.00 0.00 3200.00  4400.00 0.00 3200.00  4600.00 0.00 3200.00  4800.00 0.00 3200.00  5000.00 0.00 3200.00  
